"SURVEY","Sub_catchment_index","SITE","JULIAN_DAY","WETTED_AREA","METHOD","d_0","AVG_LENGTH_0","TOT_COUNT_0","d_1","AVG_LENGTH_1","TOT_COUNT_1","d_2","AVG_LENGTH_2","TOT_COUNT_2"
1972,"RES","4",227,324,"Successive removal",0.051,52.4,16,0.053,87.1,17,0.002,113,1
1972,"RES","5",224,325.2,"Successive removal",0.119,53.7,37,0.037,84.7,12,0.002,103,1
1972,"KED","28",207,324,"Successive removal",0.28,40.6,86,0.008,89.7,3,0.003,113,1
1972,"KED","29",194,376.8,"Successive removal",0.006,53,2,0.006,85.5,2,0.007,123,3
1972,"KED","31",206,325.7,"Successive removal",0.066,42,21,0.009,88,3,0.003,113,1
1972,"KED","32",217,307.4,"Successive removal",0.002,NA,NA,0.002,NA,NA,0.002,NA,NA
1972,"KED","33",187,391.9,"Successive removal",0.002,NA,NA,0.002,NA,NA,0.001,NA,NA
1972,"KED","38",195,316,"Successive removal",0.004,43,1,0.02,84.4,7,0.02,120.9,7
1972,"KED","39",192,263.8,"Successive removal",0.094,36.1,24,0.14,83.1,37,0.065,118,18
1972,"KED","40",200,316.8,"Successive removal",0.033,39,10,0.009,91.3,3,0.004,113,1
1972,"KED","41",196,313.7,"Successive removal",0.004,48,1,0.009,86.3,3,0.017,118.8,6
1972,"KED","42",228,348.6,"Successive removal",0.012,48,4,0.004,98,1,0.013,130,5
1972,"LMR","45",230,270.2,"Successive removal",0.018,57,5,0.002,NA,NA,0.001,NA,NA
1972,"LMR","46",229,276.2,"Successive removal",0.002,NA,NA,0.002,NA,NA,0.001,NA,NA
1972,"LMR","49",215,297.7,"Successive removal",0.01,53,3,0.024,106.8,8,0.01,135.5,4
1972,"LMR","50",215,392.4,"Successive removal",0.002,NA,NA,0.014,94.7,6,0.006,131.3,3
1972,"LMR","51",188,392,"Successive removal",0.083,33,30,0.03,88.8,12,0.006,134.7,3
1972,"LMR","52",214,313.7,"Successive removal",0.075,40.8,23,0.002,NA,NA,0.003,113,1
1972,"LMR","54",208,297.7,"Successive removal",0.03,34.7,9,0.002,NA,NA,0.001,NA,NA
1972,"LMR","55",189,302.3,"Successive removal",0.002,NA,NA,0.018,96.3,6,0.001,NA,NA
1972,"UPS","18",225,273.7,"Successive removal",0.034,49.7,9,0,NA,NA,0,NA,NA
1973,"RES","3",240,334.9,"Successive removal",0.102,56.9,33,0.004,103,1,0,NA,NA
